Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
EHS_2018_B001,47255,36.95906,42.71632,0.0,0.1,0.05,2018-04-23T00:00,7.37,30.4,0.10,<0.05,3.72,0.07,,0.85,1.28,0.73,1.39,4.24,4.6,14.8,22.2,41.9,14.2,39.2,53.4,95.3,99.5,0.0278,1.28595,0.44496833199999997,0.25,0.19496833199999997,0.32655302909752476,15.868860000000002,0.1,
EHS_2018_B001,47256,36.95869,42.71731,0.0,0.1,0.05,2018-04-23T00:00,7.36,27.57,0.10,<0.05,3.62,0.31,,0.74,1.02,0.56,1.21,3.53,4.5,15.4,24.0,44.2,13.9,38.4,52.3,96.5,100.0,0.0288,1.22789,0.454799756,0.25,0.204799756,0.32544208723833495,17.36278,0.1,
EHS_2018_B001,47257,36.95844,42.71808,0.0,0.1,0.05,2018-04-23T00:00,7.46,38.09,0.07,<0.05,4.98,0.41,,1.68,1.22,0.72,1.65,5.27,3.1,14.4,27.6,45.4,19.9,29.3,49.2,94.6,99.9,0.0402,1.2158499999999999,0.445314516,0.25,0.195314516,0.3574322348913259,17.74398,0.1,
EHS_2018_B001,47259,36.95836,42.71825,0.0,0.1,0.05,2018-04-23T00:00,7.45,24.79,0.11,<0.05,3.99,1.02,,1.4,1.89,1.0,2.08,6.36,4.2,13.7,24.0,42.0,16.6,34.6,51.2,93.2,99.6,0.0401,1.0462200000000001,0.481778552,0.25,0.23177855200000003,0.3576627542720382,23.017160000000004,0.1,
EHS_2018_B001,47260,36.95826,42.71901,0.0,0.1,0.05,2018-04-23T00:00,7.46,30.43,0.07,<0.05,4.21,0.56,,1.72,1.65,0.68,1.4,5.46,3.2,11.5,22.7,38.1,15.6,41.0,56.6,94.7,100.2,0.0348,1.14236,0.47930665599999994,0.25,0.22930665599999994,0.3221912313432457,21.09808,0.1,
EHS_2018_B001,47261,36.95811,42.71946,0.0,0.1,0.05,2018-04-23T00:00,7.43,26.41,0.12,<0.05,4.13,0.96,,1.72,1.55,1.04,2.17,6.49,6.4,17.2,24.1,48.6,15.1,30.1,45.2,93.8,100.3,0.0374,1.0896,0.456825696,0.25,0.206825696,0.39213329315750434,20.69128,0.1,
B07_2022_003,53741,36.93391,42.53645,0.0,0.1,0.05,2022-09-24T00:00,7.21,54.98,0.19,0.06,8.64,2.04,292.0,6.55,4.83,2.98,6.09,20.45,13.6,28.3,19.5,61.4,6.9,11.7,18.6,80.0,100.45,0.1271,1.0,0.388817104,0.17456796800000002,0.214249136,0.8534807233503813,20.86692,0.5497311827956989,Non-saline
B07_2022_003,53745,36.93391,42.53645,0.7,1.0,0.85,2022-09-24T00:00,7.5,59.94,0.06,<0.05,7.88,0.69,,4.16,5.87,2.98,5.81,18.82,11.5,25.6,19.5,56.6,6.5,17.6,24.1,80.7,99.52,0.1,1.25767,0.342287844,0.16529504800000003,0.17699279599999998,0.7523738917574022,12.583020000000001,0.3904564315352697,
B07_2022_004,53746,36.99346,42.47212,0.0,0.1,0.05,2022-09-17T00:00,6.98,18.31,0.13,<0.05,3.28,1.08,223.0,1.0,0.97,0.85,8.39,11.2,22.6,14.2,14.3,51.1,15.3,22.6,37.9,89.0,100.2,0.04,1.09162,0.42731140799999995,0.24491833600000001,0.18239307199999993,0.49736327791004437,17.777840000000005,0.14775725593667546,Non-saline
B07_2022_007,53756,36.95164,42.61817,0.0,0.1,0.05,2022-09-25T00:00,7.14,20.49,0.27,0.05,5.06,2.6,302.0,2.91,16.3,12.93,12.77,44.91,7.1,13.4,14.3,34.8,11.0,9.2,20.2,55.0,99.91,0.14,1.0,0.37452376,0.19782192,0.17670183999999997,1.638602890497081,25.5036,1.1116336633663366,Non-saline
